"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-24","21.1","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-25","46.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-26","1.5","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-27","16.0","26.3","37.0","20.5"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-28","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-29","0.0","26.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-30","0.8","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-31","0.8","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-01","0.0","24.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-02","0.0","24.9","29.5","21.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-03","0.0","26.3","31.8","22.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-04","0.0","26.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-05","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-06","2.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-07","0.0","26.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-08","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-09","20.3","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-10","42.9","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-11","0.8","24.2","32.5","21.7"
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-12","4.3","23.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-13","0.5","22.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-14","11.4","23.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-15","0.8","24.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-16","0.5","25.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-17","29.2","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-18","0.0","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-19","1.0","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-20","0.0","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-21","0.0","26.9","34.7","22.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-22","18.8","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-23","3.8","25.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-24","0.0","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-25","0.0","23.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-26","0.0","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-27","0.0","27.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-28","0.0","27.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-29","0.0","27.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-06-30","7.6","24.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-01","0.0","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-02","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-03","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-04","1.5","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-05","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-06","0.0","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-07",,"23.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-08","0.0","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-09","0.0","22.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-10","0.0","23.8","28.3","19.7"
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-11","0.0","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-12","0.0","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-13","0.0","26.3","33.3","19.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-14","0.0","25.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-15","0.0","26.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-16","15.5","23.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-17","6.1","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-18","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-19","0.0","26.6","34.6","20.8"
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-20","6.9","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-21","7.4","23.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-22","2.3","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-23","0.0","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-24","0.0","26.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-25","2.3","25.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-26","0.0","26.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-27","0.0","26.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-28","0.0","27.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-29","0.0","27.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-30","0.0","27.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-07-31","0.0","27.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-01","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-02","23.1","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-03","0.0","26.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-04","0.0","27.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-05","0.0","28.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-06","0.0","28.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-07","0.0","27.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-08","0.0","28.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-09","0.0","28.7",,
