CITY,28/11/2015,05/12/2015,12/12/2015,19/12/2015,26/12/2015,02/01/2016,09/01/2016,16/01/2016,23/01/2016,30/01/2016,06/02/2016,13/02/2016,20/02/2016,27/02/2016,05/03/2016,12/03/2016,19/03/2016,26/03/2016,02/04/2016,09/04/2016,16/04/2016,23/04/2016,30/04/2016,07/05/2016,14/05/2016,21/05/2016,28/05/2016,04/06/2016,11/06/2016,18/06/2016,25/06/2016,02/07/2016,09/07/2016,16/07/2016,23/07/2016,30/07/2016,06/08/2016,13/08/2016,20/08/2016,27/08/2016,03/09/2016,10/09/2016,17/09/2016,24/09/2016,01/10/2016,08/10/2016,15/10/2016,22/10/2016,29/10/2016,05/11/2016,12/11/2016,19/11/2016,26/11/2016,03/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016,07/01/2017,14/01/2017,21/01/2017,28/01/2017,04/02/2017,11/02/2017,18/02/2017,25/02/2017,04/03/2017,11/03/2017,18/03/2017,25/03/2017,01/04/2017,08/04/2017,15/04/2017,22/04/2017,29/04/2017,06/05/2017,13/05/2017,20/05/2017,27/05/2017,03/06/2017,10/06/2017,17/06/2017,24/06/2017,01/07/2017,08/07/2017,15/07/2017,22/07/2017,29/07/2017,05/08/2017,12/08/2017,19/08/2017,26/08/2017,02/09/2017,09/09/2017,16/09/2017,23/09/2017,30/09/2017,07/10/2017,14/10/2017,21/10/2017,28/10/2017,04/11/2017,11/11/2017,18/11/2017,25/11/2017
Mexico-Quintana_Roo,14,0,18,13,38,0,13,85,100,74,41,75,36,38,28,47,68,33,50,47,54,74,69,48,48,22,85,53,51,59,42,33,22,20,5,40,100,57,72,76,100,67,92,39,76,70,71,52,60,59,36,65,52,100,100,100,93,100,100,76,19,38,45,100,39,85,100,100,100,64,47,37,0,90,94,100,100,57,100,100,100,100,67,62,100,100,41,46,49,21,19,25,28,19,20,16,11,6,6,4,9,12,13,11,14
Mexico-San_Luis_Potosi,14,13,10,0,0,0,0,20,57,49,32,20,25,41,12,31,25,72,17,23,7,50,0,15,15,5,28,0,12,5,0,4,4,3,0,9,11,0,7,6,0,3,9,2,3,12,0,4,5,0,13,9,19,0,17,0,0,0,0,0,0,0,25,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,78,0,34,21,53,19,40,62,41,46,47,100,68,67,67,55,45,29,39,19,24,8,5,9,15,4,8
Mexico-Sinaloa,17,14,6,0,0,0,0,32,31,69,31,30,19,25,28,10,9,40,13,8,6,15,10,12,12,8,8,0,4,4,0,3,0,0,7,13,0,3,3,2,4,6,5,2,5,9,19,12,11,0,16,22,30,61,37,0,0,10,11,0,0,34,0,0,0,47,52,0,34,0,0,18,0,0,16,0,0,0,29,0,0,0,20,0,0,0,0,0,0,0,0,7,0,25,5,8,5,5,8,0,0,4,0,4,7
Mexico-Sonora,10,8,0,0,0,0,0,20,21,47,37,10,9,13,15,50,9,62,12,32,21,14,14,16,27,4,15,4,4,3,10,2,0,0,0,3,8,6,0,8,2,2,13,5,2,0,2,5,3,9,0,6,13,0,0,0,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,21,0,28,0,0,15,0,0,15,15,0,0,0,0,16,7,0,0,0,0,5,5,2,0,4,3,0,0,0
Mexico-State_Of_Mexico,4,2,1,0,0,1,2,26,33,49,28,28,18,22,19,34,29,31,26,27,13,19,11,10,10,7,7,8,7,4,5,3,2,2,6,5,6,4,17,13,10,6,7,3,4,4,3,3,4,4,7,1,9,17,6,4,4,3,4,6,4,28,6,6,8,0,6,14,8,18,15,3,23,26,5,2,11,5,10,2,2,8,10,5,5,13,1,0,6,0,7,12,4,0,11,4,2,3,2,7,3,1,3,1,1
Mexico-Tabasco,35,0,0,20,30,0,18,65,22,40,22,19,25,14,26,71,0,97,0,15,29,26,9,20,30,7,14,0,0,0,0,19,24,9,6,35,30,11,45,41,46,55,59,16,80,88,35,47,47,0,34,57,12,43,0,40,100,0,59,34,0,0,100,0,28,40,28,0,0,31,11,0,80,100,0,48,0,0,0,25,22,0,34,26,0,0,0,0,21,0,30,100,29,0,0,7,9,8,4,0,0,0,6,11,0
Mexico-Tamaulipas,0,0,0,0,0,7,0,41,46,76,38,40,12,22,30,17,17,76,12,25,0,7,10,6,23,16,8,0,4,0,0,0,3,0,0,0,8,6,13,11,22,18,29,15,14,15,28,25,17,22,25,20,41,39,35,10,41,49,11,9,0,0,18,17,16,0,65,17,0,36,7,16,22,19,0,0,22,33,29,15,13,16,100,100,60,94,100,100,78,65,68,73,83,51,35,35,19,23,13,25,19,17,22,3,9
Mexico-Tlaxcala,0,0,0,0,0,0,0,42,15,40,30,21,34,16,28,52,0,0,18,49,0,0,14,0,0,0,0,12,13,0,0,0,9,0,11,0,0,0,8,0,0,0,0,0,12,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,28,0,0,0,0,0,0,0,0,0,13,11,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,33,25,9,0,7,0,9,23,40,56,45,43,33,24,42,61,36,54,37,55,22,17,20,11,21,9,13,10,12,8,8,5,19,12,20,34,94,97,85,89,83,76,66,43,68,36,36,33,35,21,39,18,19,34,51,11,15,14,26,18,17,32,45,24,23,100,40,49,57,9,85,24,21,28,16,14,21,31,14,7,12,8,67,62,15,23,4,17,11,5,17,18,16,12,9,11,5,7,6,2,12,3,7,3,7
Mexico-Yucatan,36,0,12,46,27,8,48,21,53,83,49,64,100,100,73,44,34,77,55,49,31,14,27,15,21,4,34,25,16,14,35,17,13,12,20,34,5,42,36,57,39,67,58,73,98,72,83,98,76,63,99,100,100,79,80,62,49,37,52,38,33,96,55,66,32,0,49,0,17,18,7,0,22,19,65,28,62,46,27,14,12,29,0,14,15,31,0,26,0,9,9,0,16,0,9,0,0,19,3,0,4,11,8,3,3
Mexico-Zacatecas,0,0,19,0,0,22,0,60,27,40,28,20,8,7,0,31,0,0,0,89,14,0,0,31,0,0,23,13,0,0,0,23,0,7,0,0,0,0,0,6,5,5,0,0,6,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,26,48,39,0,0,16,0,0,0,0,0,0,0,10,0,0
